tên,thời gian,số người,độ khó,nguyên liệu
Bánh mì cá hộp ốp la,15 phút,2 người,dễ,1 hộp cá nục sốt cà; 2 cái trứng gà; 1 ít đầu hành; 1 ít tiêu
Nấm Hầu Thủ Kho Sa Tế,15 phút,2 người,dễ,200 g Nấm hầu thủ; 1 muỗng cafe Sa tế; 1 muỗng canh Nước tương; 1 muỗng cà phê Đường; vừa đủ Muối; vừa đủ dầu ăn; 50 ml Nước
MÌ spaghetti sốt tôm-rau củ,40 phút,3 người,dễ,200 gr mì Ý (spaghetti); 100 gr tôm lột vỏ; 150 gr nấm kim châm; 90 gr bông cải xanh; 80 gr cà rốt (hoặc bí đỏ ); 50 gr hành tây; 10 gr ngò rí; 20 gr bơ lạt; 200 ml whipping cream (cooking cream ) hoặc sữa tươi; 1 muỗng cafe muối; 1/2 muỗng cafe tiêu xay
Cơm Rang Dưa Bò,15 phút,2 người,dễ,400 g Cơm nguội; 150 g Thịt bò; 100 g Dưa cải muối; 2 cây Hành lá; 1 quả Trứng gà; 1 thìa cà phê Tỏi băm; 2 thìa canh Dầu ăn; 1 thìa canh Nước mắm; 1/2 thìa cà phê Hạt tiêu
Pate Nấm và Khoai Lang Chay,30 phút,2 người,dễ,"200 g Khoai lang; 100 g Nấm hương tươi; 1/2 củ (khoảng 50g) Hành tây; 1 thìa canh (khoảng 15g) Bơ đậu phộng; 10 g Bơ thực vật; 1/4 thìa cà phê Muối; 1/4 thìa cà phê Tiêu; 2 lát Bánh mì nguyên cám (hoặc bánh mì hạt ); 1 thìa cà phê Hạt mè , hạt lanh (nếu có)"
Rau luộc và trứng luộc,15 phút,1 người,dễ,4 quả Trứng gà ta; 1/2 bắp cải; 2 quả cà chua
Gà Hấp Nấm (One Pot),15 phút,2-3 người,dễ,1 con (khoảng 1.2kg) Gà nguyên con; 30 g Nấm lộc nhung khô; 20 g Nấm hương khô; 200 g Cải thảo; 20 g Gừng; 2 cây Sả; 1 thìa cà phê Muối; 1 thìa cà phê Bột nghệ; 20 g Hành lá
Cá Hộp Chưng Trứng Thịt Băm,30 phút,2 người,dễ,1 hộp Cá hộp 3 cô gái; 150 g Thịt nạc dăm heo băm nhuyễn; 3 quả Trứng gà; 1 muỗng cà phê hạt nêm; 1/2 muỗng cà phê đường; 1/3 muỗng cà phê tiêu; 1 muỗng canh dầu ăn; 1 cũ hành tím
"Bí xanh, cà rốt xào nấm",15 phút,2 người,dễ,"300 g Bí xanh; 50 g Cà rốt; 50 g Nấm đông cô tươi; Hạt nêm , muối, dầu ăn; Ngò rí"
Thịt ba chỉ/sườn ba chỉ kho trứng nước,45 phút,4 người ăn,dễ,400 g thịt ba chỉ; 1 chén nước sôi để nguội; 4 củ hành tím; 1 muỗng cafe tiêu; 2 muỗng thìa ăn nước mắm; 2 muỗng cafe đường đen; 10 quả trứng cút hoặc 4 quả trứng gà
Cá xạo/bông lau sốt cà,10-15 phút,4 người ăn,dễ,3 con cá Xạo/ bông lau/ cá đù; 1 củ tỏi; 2 trái ớt; 2 trái cà chua; 2 muỗng nước mắm; 2 muỗng cafe đường; 1/2 muỗng cafe tiêu
Canh cá + thơm cà (hồng/dìa/),15 phút,4 người,dễ,"3 con cá; 1/2 trái thơm; 2 trái cà chua; 3 cũ hành tím; 10 g hành; 10 g ngò; 1,5 lít; 2 muỗng nước mắm (thìa ăn) ướp cá; 1/4 muỗng cafe tiêu ướp cá; 2 muỗng cafe hạt nêm; 1/2 muỗng cafe ruốc huế; 1 muỗng cafe vị tinh"
Đậu Phụ Xào Sa Tế,15 phút,2 người,dễ,2 bìa Đậu phụ tươi; 1 muỗng nhỏ Sa tế chay; 1-2 muỗng cà phê Hạt nêm; 1 muỗng Nước tương; 1/2 muỗng cà phê Đường; Dầu ăn
Bí xanh xào nấm đông cô,15 phút,2 người,dễ,300 g Bí xanh; 3 cái Nấm đông cô; 1 muỗng cà phê Hạt nêm; 1/3 muỗng cà phê Muối; 1 ít Rau mùi ta; 1/2 muỗng canh Dầu ăn; 3 muỗng canh Nước lọc
Cá Hộp Ngâm Dầu Sốt Cà,15 phút,2 người,dễ,"1 hộp (khoảng 120g) Cá hộp sardine ngâm dầu; 1 trái lớn (hơn 100g, băm nhỏ) Cà chua; 3 g ( băm nhỏ) Tỏi; 20 ml Nước; 1 muỗng cà phê Tương cà; 1/2 muỗng cà phê Nước mắm; 1/4 muỗng cà phê Đường; 1/4 muỗng cà phê Bột nêm; 1 muỗng canh (có thể bỏ nếu không thích béo) Dầu cá hộp; 1 ổ Bánh mì"
Tôm sốt bơ tỏi xạ hương bất bại,60 phút,4-6 người,dễ,1.5 kg tôm tươi; 1.5 khóm tỏi; 1 muỗng canh xạ hương băm nhỏ; 1 muỗng canh nước mắm; 100 g bơ lạt
Cá nục kho nước mía,15 phút,2 người,dễ,5 con cá nục to (1.2kg); 1.5 muỗng trà muối; 3 muỗng canh nước mắm; 4 củ hành tím to; 1 củ gừng nhỏ; 4 quả ớt hiểm; 750 ml nước mía
Phở Trộn Sốt Nấm Hương,20 phút,2 người,dễ,200 gr sợi bánh phở tươi; 1 ít Rau tiến vua ngâm chua ngọt; 1 nắm rau cải thìa; 1 ít chả bì ớt xiêm xanh; 2 quả trứng gà ngâm tương
Sandwich Bò Băm Vét Tủ Lạnh,20 phút,2 người,dễ,"6 lát sandwich lạt; 12 muỗng canh bò băm , bắp ngọt; 6 muỗng canh phô mai mozzarella; 1 cây xúc xích"
Đậu Hũ Non Xào Rong Biển,15 phút,2 người,dễ,300 g Đậu hũ non; Boa rô; 1 Lá rong biển cuốn cơm; Muối; Hạt nêm; Tiêu; ớt (tuỳ ý); 1-2 muỗng canh Dầu ăn
Bánh sandwich nướng bò phô mai,10 phút,1 người,dễ,1 miếng bánh sandwich; 30 g phô mai mozzarella; 30 g bò băm xào; 1 mc tương ớt
Cháo hạt sen nấm hương,20 phút,2 người,dễ,2 chén cơm nguội; 8 tai nấm hương; 30 g hạt sen khô; 100 g thịt xay; 1 mc hành tím; Hành ngò; Gia vị
Bún mọc bò viên,15 phút,2 người,dễ,150 g mọc; 100 g bò viên; 2 cây chả Huế; Hành ngò; 400 g bún tươi; Giá ăn kèm; Gia vị
Phở thịt bằm,15 phút,2 người,dễ,100 g thịt xay; 2 vắt phở khô; Hành ngò; 1 mc hành tím; Rau giá ăn kèm; Gia vị
Bò kho mì giòn,120 phút,4 người,dễ,1 kg nạm bò; 2 củ hành tây; Hành ngò; 30 g sả băm; 10 g hành tím băm; 1 gói sốt bò kho; 4 miếng mì giòn; Gia vị
Canh rau củ thịt bằm,20 phút,2 - 3 người,dễ,150 g Thịt bằm; 1 củ (khoảng 100g) Cà rốt; 1 củ (khoảng 100g) Khoai tây; 2 củ Hành tím; 2 nhánh Hành lá; 1 nhánh Rau mùi; 800 ml Nước; 1 muỗng canh Dầu ăn; 1 muỗng cà phê Hạt nêm; 1/4 muỗng cà phê Tiêu
Canh cá khoai,30 phút,4 người,dễ,500g Cá khoai; lá ném; hành tím; 1q ớt; hành lá; khế; cà chua; bột nêm; bột ớt; muối; Bột ngọt; rau me; rau tần ô
Chả đậu thịt,20 phút,2 người,dễ,"2 bìa đậu; 200 gr thịt xay; 1 trứng gà; Hành hoa , tiêu bột , mắm ngon"
Mì Ý xốt kem với thịt hun khói và nấm,15 phút,2 người,dễ,200 g Mì Ý (fettuccine hoặc tagliatelle); 80 g Thịt hun khói; 50 g Nấm ( nấm mỡ hoặc nấm trắng); 50 g Phô mai mozzarella; 150 ml Kem tươi ( whipping cream ); 50 ml Sữa tươi; 1 tép Tỏi băm; 1 muỗng canh Dầu ô liu; 1/2 muỗng cà phê Muối; 1/4 muỗng cà phê Tiêu
Bò Kho,2 giờ,2 người,dễ,1 kg thịt bò; 2-3 củ khoai tây; 2 củ cà rốt; 1 gói gia vị nấu bò kho; 3 cây sả; 3 cây hành lá; 3 cây ngò rí; 1 ít tiêu xay; 200 g rau húng quế và lá ngò gai; 1 nồi nấu chậm
Bún Thái hải sản,60 phút,4 người ăn,dễ,"300 g tôm tươi; 200 g mực; 100 g chả cá (tùy chọn có thể thêm các món theo sở thích); 1 ít Rau củ : Cà chua , dứa (thơm), sả, riềng , lá chanh , ớt; 1 gói gia vị lẩu thái (để tối ưu thời gia n); 1 trái dừa để lấy nước. Hoặc có thể hầm xương lấy nước ngọt; 500 g Bún tươi; 1 ít các rau ăn kèm: rau muống chẻ , bắp chuối , rau nhút; 1 vài loại Gia vị: Cốt me (hoặc nước cốt tắc ), đường phèn, nước mắm, hạt nêm"
Canh sườn bò hầm kiểu Hàn,15 phút,2 người,dễ,2 kg sườn bò; 1 kg hành tây; 1 kg củ cải trắng; 500 g hành boa rô; 3 củ tỏi to; 100 g gừng tươi; 60 g tiêu xanh; 2 muỗng canh muối ủ rừng sác Cần Giờ; 4 muỗng canh xì dầu kikkoman; 1 bịch miến dong khô làng So (450g)
"Hoành thánh lá nấu tôm khô, nấm rơm",1 giờ,2 người,dễ,200 gr Hoành thánh lá; 30 g Tôm khô; 150 g Nấm rơm; 45 g Củ cải muối; 9 quả Trứng cút; 1 ít Hẹ lá; 1.5 muỗng cà phê Dầu mè; 1200 ml Nước; 1.5 muỗng canh Dầu ăn; 3/4 muỗng cà phê Muối; 1.5 muỗng cà phê Nước mắm; 1.5 muỗng canh Hành phi; 1/3 muỗng cà phê Tiêu
Cháo hải sản,15 phút,3 người,dễ,"1.5 chén cơm nguội; 1 ít tôm khô; 1 miếng nhỏ bí đỏ; 200 gr mực sữa; 1 ít hành , ngò"
Bò om dưa,15 phút,2 người,dễ,Nạm sườn bò; Gân bò; Bắp bò; Dưa chua; Cà chua; Gừng; Tỏi; Hành tím; Hạt nêm; nước mắm; nước tương; rượu nấu ăn; đường
Trứng đúc thịt hấp nồi cơm,30-45 phút,2 người,dễ,2 quả trứng vịt hoặc 3 quả trứng gà; 100-150 gram thịt xay; 1 thìa mắm ngon; 1 ít dầu ăn; 1 ít hành khô phi vàng; 2 cây ngò rí ( mùi ta)
Cá ngừ kho dưa cải,1h 30 phút,2 người,dễ,4 lát cá ngừ; 300 g dưa cải
Nui xào tôm thịt măng tây,30 phút,2 người,dễ,150 g Nui; 100 g Tôm nõn tươi; 80 g Thịt thăn heo; 50 g Măng tây; 50 g Củ hũ dừa; 30 g Cà rốt; 1/2 muỗng canh Tỏi băm; 1/2 muỗng canh hành tím băm; 1 muỗng canh Dầu hào; 1 muỗng cà phê Nước tương; 1 muỗng canh Dầu ăn; 1/4 muỗng cà phê Muối; 1 ít hành lá cắt khúc; 1/4 muỗng cà phê Tiêu
Cơm GÀ nấu rau củ bằng nồi cơm điện,30 phút,2 người,dễ,200 gr gạo trắng; 250 gr ức gà; 10 gr nấm hương khô; 70 gr bắp hạt vàng ( bắp Mỹ ); 70 gr đậu cô-ve; 70 gr cà rốt; 1 muỗng cafe hạt nêm; 1 muỗng cafe nước tương; 1 muỗng canh dầu hào; 1/2 muỗng cafe tiêu xay; ngò rí; nước tương có ớt
Bữa cơm lười,30 phút,2 người,dễ,400 gr thịt ba chỉ; 4 trái cà chua; 1 nắm nhúm dưa cải chua
Miến Sườn Rau Húng Quế,35 phút,3-4 người,dễ,500 gam sườn non; 3-4 vắt miến; 50 gam lá húng quế; 1 củ hành tây; 1.5 tsp muối; 1 tsp tiêu; 1/2 tbsp hạt nêm; 2.5 tbsp đường vàng; 1.5 tbsp hành tím băm; 1.5 tbsp tỏi băm; 1.5 trái ớt sừng băm; 1 tbsp gốc ngò rí; 2.5 tbsp đường; 1/2 tsp bột ngọt; 2.5 tbsp nước mắm; 1 tbsp nước cốt chanh; 1 tbsp dầu ăn; 2 tbsp hành phi
Bò hầm pate tiêu xanh,15 phút,2 người,dễ,"1 kg bắp bò; 100 g pate( loại ăn bánh mì) hoặc 1 hộp pate gan mua ở siêu thị; 3 củ cà rốt; 3 củ khoai tây ,gọt vỏ,gọt bỏ mắt mầm; Vài nhánh tiêu xanh; 30 g bơ lạt; 20 g bơ thực vật (món này hợp bơ lạt hơn); 1-1 1/2 tbsp bột mì; 1 hộp cà chua paste; 2 tbsp tương cà; 4 tbsp nước tương; 1 l nước dùng bò hoặc nước dừa tươi; 1 1/2 củ hành tây(1/2 thái hạt lựu ); Gia vị: bột ngọt,hạt nêm,đường,muối,tiêu, tiêu hạt (ko bắt buộc),demi-glace(ko bắt buộc)"
Bánh mì Tôm Phô Mai Mayonnaise bằng Nồi chiên không dầu,15 phút,2 người,dễ,6 lát Bánh mì baguette; 100 g Tôm nõn hấp; 30 g Bắp ngọt; 30 g Cà rốt; 1 nhánh Hành lá; 20 g Mayonnaise; 40 g Phô mai mozzarella bào sợi
Cơm Gà Nấm Bằng Nồi Cơm Điện,45 phút,4 người,dễ,200 g Gạo; 150 g Thịt gà ( má đùi gà hoặc ức gà ); 2 tsp mirin; 80 g Nấm đùi gà / nấm đông cô tươi; 1 tsp tỏi băm; 1 nhánh (khoảng 10g) Gừng; 2 muỗng canh Nước tương; 1 mcf dầu mè; 250 ml Nước
Nấm hương tươi chiên giòn,30 phút,2 người,dễ,300 gr nấm hương tươi; 1 cup bột gạo nếp
Canh Gà Hầm Cải Thảo Da Heo Khô,40 phút,2-3 người,dễ,500 gam cánh gà (có thể pha thêm đầu cổ hoặc đùi…); 1/2 củ cà rốt; 20 gam da heo khô; 250 gam cải thảo; 3-4 lát gừng; 1/2 tbsp dầu mè; 1/2 tsp muối; 1/2 tbsp đường phèn; 1/4 tsp tiêu; 2 tbsp hành phi
Canh rau dền nấu tôm và chả cá,20 phút,3 người,dễ,100 g tôm; 100 g chả cá; 1 bó rau dền; Gia vị
Canh rau đay nấu tôm thịt,20 phút,3 người,dễ,100 g thịt xay; 150 g tôm càng xanh; 1 bó rau đay; Gia vị
Canh mồng tơi nấm nấu tôm thịt,15 phút,2 người,dễ,100 g thịt xay; 30 g tôm khô; 1 bó rau mồng tơi; Ít nấm linh chi trắng; Gia vị
Cải xoăn xào hải sản,20 phút,2 người,dễ,150 g hải sản; 1 cây cải xoăn; 50 g tỏi lát; Gia vị
Canh xà lách xoong nấu thịt băm,20 phút,2 người,dễ,100 g Thịt heo băm; 150 g Xà lách xoong; 1 muỗng canh Hành tím băm; 1/2 muỗng cà phê Muối; 1 muỗng cà phê Nước mắm; 1/4 muỗng cà phê Tiêu xay; 1 muỗng canh Dầu ăn; 600 ml Nước lọc
Canh rong biển nấu tôm khô,20 phút,2 người,dễ,10 g rong biển khô; 50 g tôm khô; Hành lá; Gia vị
Canh rau dền cơm nấu tôm khô,15 phút,2 người,dễ,50 g tôm khô; 1 bó rau dền cơm; Gia vị
"Súp Nấm, Bí Đỏ, Hạt Mắc Ca",15 phút,4 người,dễ,400 g Bí đỏ; 50 g Hạt mắc ca sống; 50 g Nấm kim châm hoặc nấm mỡ; 1 chén nhỏ Hành tây; Muối; 1 nhánh nhỏ Lá thơm ( parsley / rosemary hoặc rau mùi ); 1 muỗng canh Bơ hoặc dầu ăn; 600 ml Nước
Bò xào măng tây,20 phút,2 người,dễ,150 g g thịt bò; 1 bó măng tây; 1 mc tỏi băm; Gia vị
Rau Bí Xào Đơn Giản,15 phút,2 người,dễ,300 g Rau bí đã làm sạch; 1/2 muỗng cà phê Muối; 30 g Nấm bào ngư hoặc nấm đùi gà (tuỳ ý); 2 muỗng cà phê Hạt nêm; 1 muỗng canh Dầu ăn
Canh rong biển bò băm,20 phút,3 người,dễ,50 g rong biển khô; 100 g bò băm; 40 g giá sống; 20 g hành lá; Gia vị
Canh cải ngọt nấu mọc và bò viên,20 phút,3 người,dễ,100 g mọc; 5 viên bò viên lớn; 1 bó cải ngọt; Gia vị
Rau muống xào ốc giác,30 phút,2 người,dễ,"500 g ốc giác (nên chọn ốc tươi hoặc phần thịt ốc đã làm sạch); 1 bó rau muống (chọn loại rau muống nước cọng to sẽ giòn hơn); 1 ít Gia vị: Tỏi băm , hành tím , ớt, dầu hào, nước mắm, hạt nêm, đường, tiêu; 1 ít đậu phộng rang hoặc hành phi ăn kèm"
"Canh Rau Dền, Mướp nấu Cá Thác Lác",20 phút,4 người,dễ,150 gr cá thác lác nạo sẵn; 1 trái mướp hương; 1 bó rau dền; Gia vị muối tiêu đường nước mắm; 800 ml nước lọc
Cá hồi sốt cam bơ tỏi măng tây,15 phút,2 người,dễ,"300 gr cá hồi khúc giữa; 200 gr măng tây; 10 gr bơ lạt; 5 nhánh tỏi; Các loại gia vị như hạt nêm hoặc bột canh, dầu hào; 1 quả cam vàng; Giấy bạc"
Ốc móng tay xào rau muống,20 phút,3 người,dễ,500 g ốc móng tay đã tách vỏ; 500 g rau muống cọng; 1 mc tỏi cắt lát hoặc tỏi băm; Gia vị
Canh rau muống nấu tôm càng xanh chua cay,20 phút,2 người,dễ,4 con tôm; 300 g rau muống; 1 mc sốt lẩu Thái; Gia vị
Cơm nhà nấu nhanh 20 phút,20 phút,2 người,dễ,Thịt xay rim trứng; Canh cải ngọt bông cải nấu tôm thịt; Rau giá và trái cây
Thịt xay rim trứng,20 phút,3 người,dễ,300 g thịt xay; 3 trái trứng gà ta; Hành ngò; Gia vị
Bữa cơm gia đình,60 phút,2 người,dễ,Thịt nướng mè; Trứng nướng tôm thịt bằng nồi chiên không dầu; Canh cải ngọt nấu thịt xay
Canh cải ngọt nấu thịt xay,15 phút,2 người,dễ,50 g thịt xay; 1 bó cải ngọt; Gia vị
Cơm nhà mình,60 phút,2 người,dễ,Má đùi gà rút xương nướng; Trứng rim cà chua nấm; Canh cải xoăn nấu gà; Nho và cherry
Canh lá hẹ nấu nấm đông cô,20 phút,2 người,dễ,"1 bó lá hẹ; 100 gr nấm đông cô xào; 60 gr thịt heo xay; 1 xíu tiêu; Gia vị nêm: muối, bột ngọt, bột nêm"
Canh Rau Nấu Ghẹ,15 phút,2 người,dễ,400 g ghẹ tươi; 1 ít tiêu xay; 1 củ hành lá; 1 ít muối; 300 g rau tập tàng
Bún cá chấm,15 phút,2 người,dễ,"Cá rô phi lọc xương phi lê; Bún; Rau sống : xà lách , tía tô tuỳ sở thích; Gia vị ướp cá:; Hành tỏi gừng tiêu thêm ít hạt nêm; Bột mì hoặc bột năng; Nước chấm:; Nước mắm; Cốt chanh; Đường; Tỏi ớt băm nhỏ và thìa là"
Rau đậu hòa lan xào thịt bò,15 phút,2 người,dễ,"1 lb rau đậu hòa lan; 1 chén thịt bò; Gia vị tiêu tỏi , dầu hào"
Canh cải cúc nấu thịt băm,20 phút,4 người,dễ,1 bó cải cúc / tần ô; 100 g thịt nạc
