ten,thoi gian,so nguoi,do kho,nguyen lieu,cach che bien
Bún Thái tôm càng xanh,30 phút,4 người,Dễ,1 kg tôm càng xanh | 1 kg bún tươi | 1/2 trái thơm | 2 trái cà chua | 2 cây sả | 1 gói gia vị lẩu Thái | 30 g hành lá | 1 mc tỏi băm | 1 mc đường | 1/3 mcf hạt nêm,"Thơm và cà chua cắt nhỏ, sả cắt khúc đập dập. Phi thơm tỏi băm, cho sả vào đảo thơm rồi cho cà chua, thơm vào đảo cùng | Tôm càng xanh cắt bớt râu, vệ sinh sạch phần đầu và lưng tôm, rửa sạch và cho vào đảo cùng. Thêm nước, gói lẩu Thái và gia vị | Trụng bún cho vào tô, cho tôm và thơm cà lên trên, chan nước dùng, cuối cùng thêm hành lá, tiêu xay và tỏi phi"
Rau củ xào tép,15 phút,2 người,Dễ,3 trái dưa leo | 10 trái cà chua bi | 50 g cần tây | 100 g tép | 1 mcf đầu hành | 1 mc nước mắm | 1/4 mcf hạt nêm | 1/2 chén nước,"Các loại nguyên liệu rửa sạch: dưa leo gọt vỏ, cắt lát, cà chua bi cắt đôi, cần tây cắt khúc | Phi thơm đầu hành, cho tép vào đảo thơm rồi cho nước và gia vị vào, cho lần lượt dưa leo, cà chua đảo mềm thì cho cần tây vào | Rắc thêm ít tiêu xay và tỏi phi"
Bữa cơm cuối tuần,60 phút,3 người,Dễ,Đùi gà hấp ngũ sắc | Chả giò và xúc xích chiên | Canh xương heo nấu rong biển táo đỏ | Bánh quẩy chiên,Đùi gà hấp ngũ sắc | Chả giò và xúc xích chiên | Canh xương heo nấu rong biển táo đỏ | Bánh quẩy chiên | Bữa cơm cuối tuần nhiều màu sắc hấp dẫn
Canh xương heo nấu rong biển táo đỏ,30 phút,3 người,Dễ,"400 g xương heo có thịt | 100 g nấm hương , mộc nhĩ , hạt sen khô | 50 g rong biển khô | 50 g táo đỏ và kỉ tử | 30 g hành lá | 1 mcf muối | 1/4 mcf hạt nêm","Các loại nấm và hạt sen khô rửa sạch, ngâm 15 phút cho nở mềm, giữ lại nước ngâm | Xương bóp muối rửa sạch, trụng qua và hầm với gia vị, sau 15 phút cho các loại nấm, hạt sen và rong biển khô vào | Tiếp theo cho táo đỏ và kỉ tử vào nấu 2 phút thì tắt bếp, cho hành lá vào, rắc thêm ít tiêu xay"
Canh giò heo nấu đậu đen táo đỏ,60 phút,3 người,Dễ,1/2 cái giò heo | 50 g đậu đen | 10 g kỉ tử | 30 g táo đỏ | 1 củ gừng nhỏ | 30 g hành ngò | 1 mcf muối | 1/4 mcf hạt nêm,"Giò heo bóp muối rửa sạch, đậu đen rửa lại, gừng bỏ vỏ cắt lát. Cho tất cả vào nồi cơm điện kèm gia vị | Nước sôi thì rút dây điện, ủ qua đêm cho đậu và giò heo mềm. Đến sáng cho thêm táo đỏ và kỉ tử, nêm lại cho vừa vị, cuối cùng thêm hành ngò | Múc canh ra tô, thêm ít tiêu xay"
Mâm cơm chay Lễ Phật Đản,60 phút,4 người,Dễ,300 g đậu xanh | 300 g đường | 2 ống va-ni | 600 g nếp | 200 g nấm đùi gà | 200 g đậu hũ bibi | 200 g nấm kim châm | 1 trái bắp nếp | 50 g nấm mèo | 1 củ cà rốt | 200 g nấm kim châm | 1 gói bánh tráng bía | 1 trái su su | 1/4 trái thơm | 150 g đậu cô ve | 5 miếng sườn non chay | 2 cây sả,"Chè đậu xanh đánh | Nấu xôi trắng bằng nồi cơm điện | Chả giò chay | Nấm đùi gà đậu hũ kho: cho đậu hũ,nấm đùi gà vô nồi cho 3 muỗng canh nước tương, 1 muỗng canh đường, 2 muỗng canh tương ớt, 2 muỗng canh dầu ăn vô đảo đều rồi kho lửa nhỏ cho thấm. | Xào chay thập cẩm | Canh nấm bào ngư đậu hũ non | Sườn chay chiên sả ớt"
Cơm Rang Kim Chi Thịt Hộp Spam,60 phút,2 phần,Dễ,1 bát canh Cơm trắng | 1 bát con đầy Kim chi cải thảo loại chua nhiều | Thịt hộp spam mình dùng của hàng ponnie đỡ mặn hơn loại của Hàn | 2 quả Trứng gà | 1 nhánh Hành baro | 2 nhánh tỏi thái lát | 1 thìa canh Dầu ăn | 1 thìa đường (tuỳ độ chua của kim chi ) | 2 thìa canh Nước tương 진간장 | 1 thìa canh dầu hào | 1 thìa canh Mayonnaise | 1 thìa cà phê Dầu mè | 1 thìa canh Hạt vừng rang,"Thái nhỏ kim chi, thịt hộp spam và hành baro | Làm nóng chảo với dầu ăn, cho spam vào đảo vàng. | Cho hành baro và tỏi vào phi thơm rồi cho kim chi, xào thơm rồi cho cơm vào đảo đều.kim chi mà chua nhiều thì lúc cho kim chi cho thêm 1 thìa đường vào. | Nêm nước tương, dầu hào, đảo đều cho cơm thấm vị.gần chín thì cho Mayonnaise vào. Tắt bếp thì dưới dầu mè lên đảo đều. Có thể rắc thêm tiêu tuỳ khẩu vị | Chiên trứng ốp la ở chảo khác. | Cho cơm ra đĩa, đặt trứng lên trên, rắc vừng rang."
Pâté gan heo,2 tiếng,4 người,Dễ,500 g gan heo | 300 g thịt nạc xay | 400 g mỡ heo | 2 ổ bánh mì | 400 ml sữa tươi không đường | 50 g bơ | 2 củ hành khô | 1 củ tỏi | 1 củ hành tây | 1 thìa cà phê muối | 2 thìa cà phê hạt nêm | 4 thìa cà phê mắm | 2 thìa cà phê hạt tiêu | 1 thìa cà phê đường trắng,"Sơ chế gan: Rửa gan với muối + chanh, cắt nhỏ. Cho gan vào tô, đổ 200ml sữa tươi không đường vào ngập, ngâm 30 - 40 phút để khử mùi.Rửa lại bằng nước sạch, để ráo. | Chuẩn bị bánh mì Cắt nhỏ bánh mì. Ngâm với 200 ml sữa tươi không đường | Chuẩn bị mỡ heo Rửa sạch, trụng nước sôi. Chia 2 phần: Phần 1: cắt hạt lựu để xào cùng pate. Phần 2: cắt lát mỏng để lót đáy & mặt khuôn. | Tỏi, hành khô, hành tây băm hoặc xay nhỏ | Phi thơm tỏi, hành khô, hành tây, xào sơ qua gan không cần chín hẳn cho 1/2 thìa muối, 1 thìa hạt nêm, 2 thìa mắm, 1 thìa hạt tiêu, 1/2 thìa đường. | Phi thơm tỏi, hành khô, hành tây, xào chín thịt băm và phần mỡ cắt hạt lựu vào cùng cho 1/2 thìa muối, 1 thìa hạt nêm, 2 thìa mắm, 1 thìa hạt tiêu, 1/2 thìa đường | Luộc chín phần còn lại của mỡ heo | Cho thịt, gan đã xào và bánh mì vào xay cùng. Ai thích ăn mịn thì xay mịn | Xếp dải mỡ mỏng ra khay rồi đổ phần vừa xay vào | Hấp cách thuỷ trong 1 giờ"
Bữa cơm nhà nhiều màu sắc,60 phút,3 người,Dễ,Sườn cánh buồm kho trứng | Canh khoai tây cà rốt nấu đuôi heo | Chè hạt é | Trái cây,"Sườn cánh buồm kho trứng | Canh khoai tây cà rốt nấu đuôi heo | Chè hạt é | Trái cây | Bữa cơm nhà nhiều màu sắc, kết hợp cùng màu xanh của chén dĩa làm dịu lại những ngày hè nóng bức"
Canh khoai tây cà rốt nấu đuôi heo,30 phút,3 người,Dễ,"1 cái đuôi heo | 4 củ khoai tây | 1 củ cà rốt | 50 g hành lá | 1,5 mcf muối | 1/3 mcf hạt nêm","Khoai tây, cà rốt gọt vỏ, cắt khúc vừa ăn | Đuôi heo bóp muối rửa sạch, trụng qua rồi cho vào nồi hầm 20 phút cho mềm cùng gia vị, sau đó cho cà rốt và khoai tây vào | Khoai tây cà rốt chín thì múc ra tô, thêm hành lá và ít tiêu xay"
Mắm chưng thịt,60 phút,4 người,Dễ,200 gr Mắm cá linh xay | 450 gr Thịt heo xay | 6 quả Trứng vịt | 3 mc hành tím băm | 1/2 mcf Hạt nêm | 4 mcf Đường | 1 mcf Tiêu xay,"Cho tất cả nguyên liệu và gia vị vào tô (giữ lại 2 lòng đỏ trứng) trộn đều ướp 15 phút. | Hấp mắm trong 30 - 40 phút. Khi mắm gần chín đánh tan 2 lòng đỏ trứng cùng 1mc dầu ăn và 1/4 mcf hạt nêm quét lên bề mặt, đậy nắp hấp thêm 4 -5 phút là hoàn thành"
"Thịt Bò Xào Măng Tây, Ớt Chuông",30 phút,2 phần ăn,Dễ,200 g Thịt bò | 150 g Măng tây | 1/2 quả Ớt chuông đỏ | 1/2 quả Ớt chuông vàng | 1/2 củ Hành tây tím | 1 muỗng canh Dầu hào | 1 muỗng canh Dầu ăn | 1/4 muỗng cà phê Muối | 1/4 muỗng cà phê Tiêu | 1 tsp tỏi băm,"Thịt bò thái mỏng, ướp với dầu hào 10 phút. | Măng tây cắt khúc, chần qua nước sôi 1 phút rồi vớt ra để ráo. | Ớt chuông và hành tây thái miếng vừa ăn. | Làm nóng chảo, cho dầu ăn, phi thơm tỏi băm, xào nhanh thịt bò trên lửa lớn, trút ra đĩa. | Cho măng tây, ớt chuông, hành tây vào xào lửa lớn 2 phút. | Cho thịt bò vào đảo đều, nêm muối, tiêu, xào thêm 1 phút rồi tắt bếp."
Canh củ cải cà rốt thịt băm,30 phút,2 người,Dễ,1 củ cải trắng | 1 củ cà rốt | 100 gr thịt heo xay | 1 ít hành ngò,"Sơ chế củ cải, cà rốt. Cắt dạng hạt lựu hoặc cục vừa ăn. | Nấu nồi nước sôi, rồi cho thịt xay vào cùng ít hành tím băm. Khi canh sôi 5 phút thì cho củ cải, cà rốt vào. | Nêm nếm gia vị (muối, bột nêm, chút bột ngọt). Nấu chừng 5 phút cho củ cải và cà rốt mềm. | Nêm nếm lần nữa, rắc hành ngò, chút tiêu lên. Vậy là xong."
Canh RAU CỦ hầm xương 🥦🥕🌽,50 phút,4 người,Dễ,"500 gr xương heo | 2 trái bắp ngọt ( bắp vàng) | 200 gr cà rốt | 300 gr bông cải xanh | 50 gr hành lá , ngò rí | 5 củ hành tím | 1 muỗng cafe muối hạt | 1 muỗng cafe hạt nêm | 1 muỗng cafe bột ngọt | 1/2 muỗng cafe tiêu","Sơ chế xương & rau củ: Xương heo ngâm rửa với nước muối loãng rồi trụng xương với nồi nước sôi có muối & rượu trắng khoảng 2 phút để loại bỏ bọt bẩn & khử mùi hôi xong vớt xương ra rửa lại với nhiều lần nước cho sạch... Rau củ gọt vỏ ngâm rửa với nước muối loãng rồi rửa sạch, xong cắt miếng vừa ăn... Hành củ cắt lát, hành ngò cắt khúc | Nấu canh: Để vào nồi 1,2 lít nước lọc cùng 1 muỗng cafe muối hạt & hành tím cắt lát rồi cho xương vào hầm, khi xương gần mềm thì để các loại rau củ lâu chín vào nấu trước: bắp, cà rốt... Hầm khoảng 7 phút thì mới cho bông cải vào, lúc này nêm nếm gia vị theo vị nhà. Cuối cùng xương & rau củ đã mềm nhưng không bị nhừ nát thì tắt bếp | Thành phẩm: Cho canh ra tô lớn, rắc hành ngò, tiêu cho thơm... Dùng nóng với cơm trắng & một chén nước mắm mặn có ớt"
Salad Cá Hồi Rong Sụn,20 phút,2 phần,Dễ,150 g Cá hồi phi lê | 30 g Rong sụn | 5 g Rong biển tươi | 4 thanh cua | 50 g Xà lách | 6 quả Cà chua bi | 1/2 quả Dưa leo | 20 g Bắp hạt | 20 g Bắp cải tím | 20 g Cà rốt | 3 muỗng canh Sốt mè rang | 1 muỗng canh Dầu ăn | 1/4 muỗng cà phê Muối,"Cá hồi cắt khối vừa ăn, ướp nhẹ muối rồi áp chảo với dầu đến khi vàng đều. | Rong sụn rửa sạch muối và cát, để ráo. | Xà lách, bắp cải tím, cà rốt, dưa leo rửa sạch, cắt nhỏ vừa ăn. | Cà chua bi cắt đôi, thanh cua cắt khúc. | Trộn tất cả rau củ, rong sụn, rong biển tươi, thanh cua, bắp, cá hồi vào tô lớn. | Rưới sốt mè rang lên, trộn đều và thưởng thức."
Canh mướp nấu nấm,20 phút,3 người,Dễ,1 hộp râu bạch tuộc | 1 trái mướp | 1 túi nấm kim châm | 1 túi nấm linh chi nâu | 20 g nấm hương khô | 30 g hành ngò | 1 mcf muối | 1/3 mcf hạt nêm,"Rau bạch tuộc bóp muối giấm rửa sạch, cắt lát, cho vào nồi nấu cùng muối và hạt nêm. Mướp cắt lát, nấm hương ngâm nở cắt chân, nấm kim châm và nấm linh chi nâu bỏ gốc rửa sạch. Nước sôi thì cho nấm hương vào nấu cho nấm mềm thì cho các nguyên liệu khác vào | Hành ngò cắt nhỏ cho vào nồi canh khi các nguyên liệu vừa chín tới | Cuối cùng thêm ít tiêu xay cho thơm"
Đuôi heo hầm kim chi hành tây,60 phút,2 người,Dễ,1 cái đuôi heo | 1 củ hành tây | 50 g kim chi | 30 g hành lá | 1 mc đường | 2 mc nước mắm | 1 mcf muối | 1/2 mcf hạt nêm,"Đuôi heo rửa sạch, trụng nước sôi rồi rửa sạch lại lần nữa, cho vào nồi hầm với nước, hạt nêm, đường, muối, cho vào nồi ủ 45 phút cho nhanh mềm | Cho kim chi, hành tây vào nấu cùng, nêm lại cho vừa vị | Cuối cùng cho thêm hành lá và tiêu xay"
Giò heo hầm táo đỏ kỷ tử,90 phút,4 người,Dễ,"1 bộ xương gà | 1/2 cái giò heo | 1 trái bắp Mỹ | 100 g nấm hương khô | 100 g táo đỏ , hạt sen khô và kỷ tử | 30 g hành lá | 4 củ hành tím | 1 mc muối | 1/2 mcf hạt nêm | 1 mc nước mắm","Xương gà và giò heo ngâm rửa sạch, cho vào nồi luộc cùng hành tím bóc vỏ đập dập, muối và hạt nêm | Bắp và nấm hương, hạt sen rửa sạch, cho vào hầm chung, đậy nắp ủ 60 phút cho đến khi các nguyên liệu mềm | Cuối cùng cho táo đỏ và kỷ tử vào nấu sôi, nêm nước mắm và gia vị khác tùy khẩu vị, rắc thêm hành lá và tiêu xay cho thơm"
Cá nục sốt cà chua (kho rục),2 tiếng,4 người,Dễ,Cá nục | Cà chua | Dứa ( thơm ) | Gia vị cơ bản: nước mắm ; muối; đường | Tương cà,"Làm sạch cá; rửa qua với muối. Có thể trụng qua nước sôi pha muối loãng và rượu nấu ăn để khử tanh. | Chiên sơ cá (chiên chín 50%). | Cà chua cắt hạt lựu; dứa cắt hạt lựu hoặc miếng đều được. | Bật bếp cho nóng, cho cà chua và dứa vào đảo (không cần thêm dầu) | Pha gia vị theo tỉ lệ: 1 mắm: 1 đường: 5 nước: 1/3 tương cà. - ngập 1/2 hoặc toàn bộ cá. | Kho lửa nhỏ cho đến khi gần cạn nước kho thì tắt bếp"
Da heo chiên giòn bằng nồi chiên không dầu,1 giờ 30 phút,2 phần ăn,Dễ,"500 gr Da heo | Hành , sả, gừng , muối",Cạo sạch lông da heo | Luộc sơ với muối gừng sả để khử mùi | Lấy ra rửa sạch rồi luộc chín (lấy đũa chọt xuyên qua da là chín rồi) | Lạng bỏ phần mỡ dính trên da nếu không da sẽ cứng | Cắt miếng vuông vừa ăn | Bỏ vào nồi chiên không dầu sấy 100 độ trong 30 phút (tầm 5 phút 1 lần đảo đều) | Cảm thấy da đã tiết bớt mỡ ra thì tăng độ lên tầm 160 độ thêm 30 phút (nhớ đảo đều) | Đến khi da có dấu hiệu phồng lên thì tăng độ 180-200 độ trong tầm 5-10 phút | Hoàn thành 🙌 siêu giòn
Bánh da lợn,60 phút,4 người,Dễ,"Nguyên liệu cho 1 khuôn bánh 9"" = 23cm: | Lớp đậu xanh: | 1 cup đậu xanh hấp sẵn (Công thức gốc: 170 gr = 2/3 cup đậu xanh cà - vo sạch - ngâm nước ấm 3-4 tiếng.) | 1 1/3 cup nước | Xay đậu với: | 1/8 tsp muối | 7 gr = 1 Tbsp bột năng | 58 gr = 1/4 cup đường | 1 ống vani | 3/4 cup nước cốt dừa ( COCONUT MILK ) mình xài coconut cream do nhà không có coconut milk | 1 cup hỗn hợp bột và nước cốt dừa mà mình để bên dưới | Hỗn hợp bột và nước cốt dừa dùng cho cả hai lớp, lớp lá dứa và lớp đậu: | 275 gr = 2 1/4 cup bột năng | 35 gr = 1/4 cup bột nếp | 1 lon = 400 ml nước cốt dừa ( coconut cream ) | 1/4 tsp salt | 265 gr = 1 1/4 cup đường | Nước cốt lá dứa : | 60 gr khoảng 10 lá dứa | 2/3 cup nước cốt dừa ( coconut milk ) | Xay cho nhuyễn vắt lấy được 3/4 cup nước cốt lá dứa","Chuẩn bị Hỗn hợp bột và nước cốt dừa dùng cho cả hai lớp, lớp lá dứa và lớp đậu: cho tất cả nvl của hỗn hợp bột và nước nấu trên lửa trung bình. Cho tới khi đường tan hoàn toàn | Chuẩn bị lớp đậu xanh. Cho tất cả nvl của phần lớp đậu xanh vô máy xay sinh tố xay mịn | Xay nước cốt lá dứa vắt ra được 3/4 cup, rồi trộn với phần hỗn hợp bột nước thì mình ra được lớp màu xanh | Thoa dầu lên khuôn và sau đó hấp khuôn nóng 5p | Hấp lớp đầu tiên trong vòng 4p lửa trung bình. Khoảng 1 cup bột lá dứa | Lớp thứ 2: 1 cup bột đậu xanh. Hấp thêm 1p tổng cọng là 5p. | Cứ mỗi lớp bánh tăng thêm 1p. Bánh tổng cọng được 7 lớp, 3 lớp đậu xanh, 4 lớp lá dứa. Lớp cuối cùng hấp bánh 20p là chín nha. | Link gốc: https://youtu.be/6KUn_OVaimU?si=iHQITSlsIToo9qKo"
Đậu hũ chà bông(5 trong 1),20 phút,4 người,Dễ,2 cây đậu hũ | 4 quả trứng bắc thảo | 4 quả trứng muối | 50 g bột bắp | 1 lòng trắng trứng | Hành lá | chà bông,"Đậu hũ non cắt lát khoanh,lăn qua lòng trắng trứng,lăn tiếp qua bột bắp.Đun dầu đến khi sôi già. Lấy một ít dầu nóng trước khi chiên đậu,xối lên hành lá đã cắt nhỏ khoảng 2-3tbsp,sau đó cho đậu hũ đã tẩm bột vào chiên 2 mặt | Trứng muối lấy lòng đỏ,làm chín,nghiền nhuyễn.Đun một ít dầu ăn trứng muối vào xào bông,cho hạt nêm,nước mắm,đường vào đảo đều.Cho đậu hũ vào đảo đều đến khi bám đều | Cắt trứng bắc thảo từng khoanh nhỏ,cho một ít mayo lên đậu,cho trứng bắc thảo,một ít chà bông lên.Dùng nóng như món ăn vặt hoặc ăn cơm"
